Highest Layer,Transport Layer,Source IP,Dest IP,Source Port,Dest Port,Packet Length,Packets/Time,target
BOOTP,UDP,1,255.255.255.255,68,67,331,7.0381603967019695,1
TCP,TCP,1,192.168.1.1,49369,80,66,7.042467716406193,1
TCP,TCP,1,192.168.1.1,49375,80,66,7.046775036110417,1
TCP,TCP,1,192.168.1.1,49557,80,62,7.035007277760871,1
TCP,TCP,1,192.168.1.1,49370,80,66,7.039304777625111,1
BOOTP,UDP,1,255.255.255.255,68,67,342,7.043602277489351,1
TCP,TCP,1,192.168.1.1,49376,80,66,7.047427232398646,1
TCP,TCP,1,192.168.1.1,49558,80,62,7.0517244441257185,1
TCP,TCP,1,192.168.1.1,49371,80,66,7.0404439524911275,1
TCP,TCP,1,192.168.1.1,49559,80,62,7.044731677188138,1
TCP,TCP,1,192.168.1.1,49372,80,66,7.033021968947981,1
TCP,TCP,1,192.168.1.1,49560,80,62,7.037299962846368,1
TCP,TCP,1,192.168.1.1,49373,80,66,7.025633589692205,1
TCP,TCP,1,192.168.1.1,49561,80,62,7.029901896854837,1
TCP,TCP,1,192.168.1.1,49362,80,62,7.018278601241651,1
TCP,TCP,1,192.168.1.1,49374,80,66,7.022537265441434,1
TCP,TCP,1,192.168.1.1,49562,80,62,7.026795929641216,1
TCP,TCP,1,192.168.1.1,49363,80,62,7.015205842488295,1
TCP,TCP,1,192.168.1.1,49450,80,66,7.019454907202098,1
TCP,TCP,1,192.168.1.1,49375,80,66,7.023238342205153,1
TCP,TCP,1,192.168.1.1,49563,80,62,7.027487125231291,1
TCP,TCP,1,192.168.1.1,49364,80,62,7.016389541218631,1
TCP,TCP,1,192.168.1.1,49451,80,66,7.02062905151544,1
BOOTP,UDP,1,255.255.255.255,68,67,342,7.024868561812249,1
BOOTP,UDP,1,255.255.255.255,68,67,331,7.028643231341633,1
TCP,TCP,1,192.168.1.1,49376,80,66,7.032882461276097,1
TCP,TCP,1,192.168.1.1,49564,80,62,7.037121691210562,1
TCP,TCP,1,192.168.1.1,49365,80,62,7.026028025283128,1
TCP,TCP,1,192.168.1.1,49452,80,66,7.030258024094255,1
TCP,TCP,1,192.168.1.1,49453,80,66,7.034488022905383,1
TCP,TCP,1,192.168.1.1,49454,80,66,7.022961767899936,1
TCP,TCP,1,192.168.1.1,49455,80,66,7.02718229780853,1
TCP,TCP,1,192.168.1.1,49565,80,62,7.031402827717123,1
TCP,TCP,1,192.168.1.1,49366,80,62,7.035160183049392,1
TCP,TCP,1,192.168.1.1,49566,80,62,7.03938043510881,1
TCP,TCP,1,192.168.1.1,49456,80,66,7.043600687168228,1
TCP,TCP,1,192.168.1.1,49367,80,62,7.0330045371237615,1
TCP,TCP,1,192.168.1.1,49457,80,66,7.036753627843265,1
TCP,TCP,1,192.168.1.1,49368,80,62,7.025734203603497,1
TCP,TCP,1,192.168.1.1,49458,80,66,7.029936197744408,1
TCP,TCP,1,192.168.1.1,49450,80,66,7.0180371954232665,1
TCP,TCP,1,192.168.1.1,49369,80,62,7.022229571286721,1
TCP,TCP,1,192.168.1.1,49459,80,66,7.026421947150176,1
TCP,TCP,1,192.168.1.1,49370,80,62,7.015015878618579,1
TCP,TCP,1,192.168.1.1,49451,80,66,7.0191989530840635,1
TCP,TCP,1,192.168.1.1,49460,80,66,7.023382027549549,1
TCP,TCP,1,192.168.1.1,49371,80,62,7.027565102015034,1
TCP,TCP,1,192.168.1.1,49452,80,66,7.016181752849633,1
TCP,TCP,1,192.168.1.1,49455,80,66,7.020355567098799,1
TCP,TCP,1,192.168.1.1,49453,80,66,7.024072048439579,1
TCP,TCP,1,192.168.1.1,49454,80,66,7.028245590952021,1
TCP,TCP,1,192.168.1.1,49461,80,66,7.032419133464463,1
TCP,TCP,1,192.168.1.1,49372,80,62,7.036592675976904,1
BOOTP,UDP,1,255.255.255.255,68,67,331,7.025671666493629,1
TCP,TCP,1,192.168.1.1,49456,80,66,7.029836261435238,1
TCP,TCP,1,192.168.1.1,49462,80,66,7.034000856376847,1
TCP,TCP,1,192.168.1.1,49373,80,62,7.038165451318455,1
TCP,TCP,1,192.168.1.1,49457,80,66,7.027264447407537,1
TCP,TCP,1,192.168.1.1,49374,80,62,7.030964339738213,1
TCP,TCP,1,192.168.1.1,49463,80,66,7.020102674546425,1
TCP,TCP,1,192.168.1.1,49458,80,66,7.024249220721585,1
TCP,TCP,1,192.168.1.1,49464,80,66,7.028395766896746,1
TCP,TCP,1,192.168.1.1,49375,80,62,7.016656918185728,1
TCP,TCP,1,192.168.1.1,49459,80,66,7.020794097972393,1
TCP,TCP,1,192.168.1.1,49376,80,62,7.02493127775906,1
TCP,TCP,1,192.168.1.1,49567,80,66,7.029068457545726,1
TCP,TCP,1,192.168.1.1,49460,80,66,7.017806435957315,1
TCP,TCP,1,192.168.1.1,49568,80,66,7.021934557390231,1
TCP,TCP,1,192.168.1.1,49461,80,66,7.011163234256666,1
TCP,TCP,1,192.168.1.1,49569,80,66,7.014831828329612,1
TCP,TCP,1,192.168.1.1,49462,80,66,7.00409901687322,1
TCP,TCP,1,192.168.1.1,49570,80,66,7.008209403620211,1
BOOTP,UDP,1,255.255.255.255,68,67,342,6.996617887030484,1
