Highest Layer,Transport Layer,Source IP,Dest IP,Source Port,Dest Port,Packet Length,Packets/Time,target
TCP,TCP,1,192.168.1.1,49396,80,66,7.0765053751861995,1
TCP,TCP,1,192.168.1.1,49402,80,66,7.060292257463238,1
TCP,TCP,1,192.168.1.1,49313,80,62,7.06598761798226,1
DATA,UDP,1,172.16.255.255,55384,1947,82,7.072387969085505,1
TCP,TCP,1,192.168.1.1,49397,80,66,7.07878832018875,1
TCP,TCP,1,192.168.1.1,49314,80,62,7.061215479959401,1
TCP,TCP,1,192.168.1.1,49403,80,66,7.067594175063249,1
TCP,TCP,1,192.168.1.1,49398,80,66,7.050817659147668,1
TCP,TCP,1,192.168.1.1,49315,80,62,7.056475537404135,1
TCP,TCP,1,192.168.1.1,49404,80,66,7.062832722572968,1
TCP,TCP,1,192.168.1.1,49399,80,66,7.0691899077418,1
TCP,TCP,1,192.168.1.1,49316,80,62,7.051767444381021,1
